,id_x,release_date_x,movie,production_budget,domestic_gross_x,worldwide_gross,release_year,title,studio,foreign_gross,year,genre_ids,popularity,movie_id,runtime_minutes,genres
103,47,2016-09-30,Deepwater Horizon,156000000.0,61433527.0,122603824.0,2016,Deepwater Horizon,LG/S,60400000.0,2016,"[18, 28]",13.685,tt1860357,107.0,"Action,Drama,History"
104,52,2017-07-14,War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,2017,War for the Planet of the Apes,Fox,343800000.0,2017,"[18, 878, 10752]",23.445,tt3450958,140.0,"Action,Adventure,Drama"
105,55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,2017,Wonder Woman,WB,409300000.0,2017,"[28, 14]",2.841,tt0451279,141.0,"Action,Adventure,Fantasy"
106,55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,2017,Wonder Woman,WB,409300000.0,2017,"[28, 14]",2.841,tt4028068,60.0,Sci-Fi
107,55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,2017,Wonder Woman,WB,409300000.0,2017,"[28, 14]",2.841,tt4283448,75.0,"Documentary,Drama,Sport"
108,55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,2017,Wonder Woman,WB,409300000.0,2017,"[12, 14, 10752, 10749]",31.618,tt0451279,141.0,"Action,Adventure,Fantasy"
109,55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,2017,Wonder Woman,WB,409300000.0,2017,"[12, 14, 10752, 10749]",31.618,tt4028068,60.0,Sci-Fi
110,55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,2017,Wonder Woman,WB,409300000.0,2017,"[12, 14, 10752, 10749]",31.618,tt4283448,75.0,"Documentary,Drama,Sport"
111,56,2013-11-22,Frozen,150000000.0,400738009.0,1272469910.0,2013,Frozen,BV,875700000.0,2013,[53],9.678,tt1323045,93.0,"Adventure,Drama,Sport"
112,56,2013-11-22,Frozen,150000000.0,400738009.0,1272469910.0,2013,Frozen,BV,875700000.0,2013,[53],9.678,tt1611845,92.0,"Fantasy,Romance"
113,56,2013-11-22,Frozen,150000000.0,400738009.0,1272469910.0,2013,Frozen,BV,875700000.0,2013,[53],9.678,tt2294629,102.0,"Adventure,Animation,Comedy"
114,56,2013-11-22,Frozen,150000000.0,400738009.0,1272469910.0,2013,Frozen,BV,875700000.0,2013,"[16, 12, 10751]",26.183000000000003,tt1323045,93.0,"Adventure,Drama,Sport"
115,56,2013-11-22,Frozen,150000000.0,400738009.0,1272469910.0,2013,Frozen,BV,875700000.0,2013,"[16, 12, 10751]",26.183000000000003,tt1611845,92.0,"Fantasy,Romance"
116,56,2013-11-22,Frozen,150000000.0,400738009.0,1272469910.0,2013,Frozen,BV,875700000.0,2013,"[16, 12, 10751]",26.183000000000003,tt2294629,102.0,"Adventure,Animation,Comedy"
117,57,2016-03-04,Zootopia,150000000.0,341268248.0,1019429616.0,2016,Zootopia,BV,682500000.0,2016,"[16, 12, 10751, 35]",27.549,tt2948356,108.0,"Adventure,Animation,Comedy"
118,62,2016-11-23,Moana,150000000.0,248757044.0,637517365.0,2016,Moana,BV,394600000.0,2016,[99],1.96,tt3521164,107.0,"Adventure,Animation,Comedy"
119,62,2016-11-23,Moana,150000000.0,248757044.0,637517365.0,2016,Moana,BV,394600000.0,2016,"[12, 35, 10751, 16]",4.419,tt3521164,107.0,"Adventure,Animation,Comedy"
120,62,2016-11-23,Moana,150000000.0,248757044.0,637517365.0,2016,Moana,BV,394600000.0,2016,"[12, 35, 10751, 16]",4.419,tt3521164,107.0,"Adventure,Animation,Comedy"
121,66,2013-11-08,Thor: The Dark World,150000000.0,206362140.0,644602516.0,2013,Thor: The Dark World,BV,438200000.0,2013,"[28, 12, 14]",31.014,tt1981115,112.0,"Action,Adventure,Fantasy"
122,69,2017-07-21,Dunkirk,150000000.0,190068280.0,499837368.0,2017,Dunkirk,WB,337200000.0,2017,"[10752, 28, 18]",24.358,tt5013056,106.0,"Action,Drama,History"
