,id_x,release_date_x,movie,production_budget,domestic_gross_x,worldwide_gross,release_year,title,studio,foreign_gross,year,genre_ids,original_language,original_title,popularity,vote_average,vote_count
451,99,2012-02-03,Big Miracle,40000000.0,20157300.0,25268680.0,2012,Big Miracle,Uni.,4600000.0,2012,"[12, 18, 10749]",en,Big Miracle,6.76,6.6,250
452,100,2012-12-21,The Impossible,40000000.0,19019882.0,169590606.0,2012,The Impossible,LG/S,161300000.0,2012,"[53, 18]",en,Lo imposible,14.66,7.2,3614
453,1,2012-03-09,A Thousand Words,40000000.0,18450127.0,20790486.0,2012,A Thousand Words,P/DW,3600000.0,2012,"[18, 35]",en,A Thousand Words,8.017000000000001,6.1,685
454,15,2015-03-20,The Gunman,40000000.0,10664749.0,18594227.0,2015,The Gunman,ORF,13500000.0,2015,"[28, 18, 80]",en,The Gunman,10.388,5.7,583
455,19,2013-08-16,Paranoia,40000000.0,7388654.0,16340767.0,2013,Paranoia,Rela.,6400000.0,2013,[],en,Paranoia,0.6,4.5,2
456,19,2013-08-16,Paranoia,40000000.0,7388654.0,16340767.0,2013,Paranoia,Rela.,6400000.0,2013,"[18, 53]",en,Paranoia,7.6739999999999995,5.7,518
457,19,2013-08-16,Paranoia,40000000.0,7388654.0,16340767.0,2013,Paranoia,Rela.,6400000.0,2013,"[53, 27]",en,Paranoia,0.6,10.0,1
458,19,2013-08-16,Paranoia,40000000.0,7388654.0,16340767.0,2013,Paranoia,Rela.,6400000.0,2013,[],en,Paranoia,0.6,4.5,2
459,22,2018-03-09,The Hurricane Heist,40000000.0,6115824.0,30963684.0,2018,The Hurricane Heist,ENTMP,,2018,"[28, 80, 53]",en,The Hurricane Heist,13.335,5.4,476
460,24,2015-11-25,Victor Frankenstein,40000000.0,5775076.0,31124367.0,2015,Victor Frankenstein,Fox,28500000.0,2015,"[18, 878, 53]",en,Victor Frankenstein,9.061,5.8,1200
461,24,2015-11-25,Victor Frankenstein,40000000.0,5775076.0,31124367.0,2015,Victor Frankenstein,Fox,28500000.0,2015,"[18, 878, 53]",en,Victor Frankenstein,9.061,5.8,1200
462,27,2014-06-27,Snowpiercer,40000000.0,4563029.0,88069880.0,2014,Snowpiercer,RTWC,82200000.0,2014,"[28, 878, 18]",ko,Snowpiercer,14.735,6.8,4748
463,48,2012-10-05,Frankenweenie,39000000.0,35287788.0,81150788.0,2012,Frankenweenie,BV,46200000.0,2012,"[16, 35, 10751]",en,Frankenweenie,14.627,6.8,1685
464,59,2017-06-02,Captain Underpants: The First Epic Movie,38000000.0,73921000.0,126577874.0,2017,Captain Underpants: The First Epic Movie,Fox,51600000.0,2017,"[28, 16, 35, 10751]",en,Captain Underpants: The First Epic Movie,18.31,6.0,587
465,60,2015-04-17,Paul Blart: Mall Cop 2,38000000.0,71091594.0,107650646.0,2015,Paul Blart: Mall Cop 2,Sony,36600000.0,2015,"[28, 35, 10751]",en,Paul Blart: Mall Cop 2,15.940999999999999,5.0,900
466,62,2016-12-23,Why Him?,38000000.0,60323786.0,117425156.0,2016,Why Him?,Fox,57800000.0,2016,[35],en,Why Him?,15.044,6.2,2494
467,62,2016-12-23,Why Him?,38000000.0,60323786.0,117425156.0,2016,Why Him?,Fox,57800000.0,2016,[35],en,Why Him?,15.044,6.2,2494
468,63,2011-04-22,Water for Elephants,38000000.0,58709717.0,116809717.0,2011,Water for Elephants,Fox,58400000.0,2011,"[18, 10749]",en,Water for Elephants,6.209,6.9,1627
469,66,2013-09-06,Riddick,38000000.0,42025135.0,94763758.0,2013,Riddick,Uni.,56300000.0,2013,"[878, 28, 53]",en,Riddick,17.434,6.2,2852
470,69,2016-01-22,The 5th Wave,38000000.0,34912982.0,111336398.0,2016,The 5th Wave,Sony,75000000.0,2016,"[12, 878]",en,The 5th Wave,12.967,5.8,3657
471,82,2018-09-21,The Sisters Brothers,38000000.0,3143056.0,13143056.0,2018,The Sisters Brothers,Annapurna,10000000.0,2018,"[35, 18, 37]",en,The Sisters Brothers,13.738,7.0,590
472,86,2012-05-18,What to Expect When You're Expecting,37500000.0,41152203.0,88473016.0,2012,What to Expect When You're Expecting,LGF,43200000.0,2012,"[10749, 35, 18]",en,What to Expect When You're Expecting,12.27,5.9,1130
473,87,2012-09-14,The Master,37500000.0,16247159.0,50647416.0,2012,The Master,Wein.,11900000.0,2012,[18],en,The Master,12.829,7.1,1323
474,87,2012-09-14,The Master,37500000.0,16247159.0,50647416.0,2012,The Master,Wein.,11900000.0,2012,"[36, 28]",zh,師父,0.6,4.0,1
475,90,2013-08-07,We're the Millers,37000000.0,150394119.0,267816276.0,2013,We're the Millers,WB (NL),119600000.0,2013,"[35, 80]",en,We're the Millers,14.745999999999999,6.8,5231
476,91,2015-11-25,Creed,37000000.0,109767581.0,173567581.0,2015,Creed,WB (NL),63800000.0,2015,[18],en,Creed,16.355999999999998,7.3,4010
477,91,2015-11-25,Creed,37000000.0,109767581.0,173567581.0,2015,Creed,WB (NL),63800000.0,2015,[18],en,Creed,16.355999999999998,7.3,4010
478,93,2011-09-23,Dolphin Tale,37000000.0,72286779.0,96068724.0,2011,Dolphin Tale,WB,23100000.0,2011,"[18, 10751]",en,Dolphin Tale,10.679,6.8,327
479,94,2018-02-23,Game Night,37000000.0,69179066.0,117378084.0,2018,Game Night,WB (NL),48500000.0,2018,"[9648, 35, 80]",en,Game Night,19.459,6.9,2756
480,100,2011-01-28,The Rite,37000000.0,33047633.0,97143987.0,2011,The Rite,WB (NL),63000000.0,2011,"[18, 53, 27]",en,The Rite,9.676,5.9,994
481,3,2015-05-29,Aloha,37000000.0,21052030.0,25387091.0,2015,Aloha,Sony,5200000.0,2015,"[18, 35, 10749]",en,Aloha,9.685,5.3,1226
482,12,2014-09-12,Dolphin Tale 2,36000000.0,42024533.0,57824533.0,2014,Dolphin Tale 2,WB,15800000.0,2014,"[10751, 18]",en,Dolphin Tale 2,7.403,6.7,173
483,13,2016-12-16,Collateral Beauty,36000000.0,31016021.0,85309093.0,2016,Collateral Beauty,WB (NL),57500000.0,2016,"[18, 10749]",en,Collateral Beauty,12.857000000000001,7.2,3270
484,13,2016-12-16,Collateral Beauty,36000000.0,31016021.0,85309093.0,2016,Collateral Beauty,WB (NL),57500000.0,2016,"[18, 10749]",en,Collateral Beauty,12.857000000000001,7.2,3270
485,21,2011-05-06,There Be Dragons,36000000.0,1069334.0,4020990.0,2011,There Be Dragons,Gold.,,2011,"[18, 10752]",en,There Be Dragons,7.058,5.1,93
486,24,2017-09-08,It,35000000.0,327481748.0,697457969.0,2017,It,WB (NL),372900000.0,2017,"[27, 53]",en,It,13.966,7.2,10931
487,24,2017-09-08,It,35000000.0,327481748.0,697457969.0,2017,It,WB (NL),372900000.0,2017,"[27, 53]",en,It,13.966,7.2,10931
488,32,2013-02-08,Identity Thief,35000000.0,134506920.0,175361578.0,2013,Identity Thief,Uni.,39500000.0,2013,"[35, 80]",en,Identity Thief,13.552999999999999,5.8,2230
489,34,2011-07-08,Horrible Bosses,35000000.0,117538559.0,212417601.0,2011,Horrible Bosses,WB (NL),92100000.0,2011,"[35, 80]",en,Horrible Bosses,14.058,6.5,3842
490,36,2015-07-17,Trainwreck,35000000.0,110212700.0,141123897.0,2015,Trainwreck,Uni.,30600000.0,2015,"[35, 10749]",en,Trainwreck,18.423,5.8,1731
491,37,2013-12-13,Saving Mr. Banks,35000000.0,83299761.0,114962525.0,2013,Saving Mr. Banks,BV,34600000.0,2013,"[35, 18, 36]",en,Saving Mr. Banks,9.585,7.4,2050
492,55,2011-07-22,Friends with Benefits,35000000.0,55802754.0,146595891.0,2011,Friends with Benefits,SGem,93700000.0,2011,"[10749, 35]",en,Friends with Benefits,14.019,6.6,4637
